date,userid,tweet,lang
2023-01-17 23:59:16+00:00,1555331117359792129,The man made Covid 19 virus was meant to kill the elderly and sick. The vaccine was meant to kill the young and healthy. It’s a genocide.,en
2023-01-17 23:58:55+00:00,1595490334745645057,Pentagon Not Pursuing Backpay for Those Dismissed Due to COVID-19 Vaccine Mandate  https://t.co/fLcqvZrvbd,en
2023-01-17 23:57:57+00:00,1449732529250918401,"I haven’t heard one Twitter Spaces with a COVID-19 Vaccine conversation about this.  I do however see them going for hours discussing how everyone who took the JAB is going to die of a heart attack, stroke, or blood clots in the next year.  🥴",en
2023-01-17 23:57:51+00:00,22817871,"Over 1,600 Children Aged 5 to 11 Experienced Systemic Reactions After Getting a New COVID-19 Booster: CDC Studyhttps://t.co/Ctc85zz946.                     In my opinion, children under 18 should never get that vaccine. How many have died yet?",en
2023-01-17 23:57:44+00:00,1179551543286206469,@kmpanthagani “We have more evidence than for any other vaccine or disease in the history of humans that the benefits of COVID-19 vaccines greatly outweigh the risks”Why lie?,en
2023-01-17 23:55:59+00:00,58579546,@RealOmarNavarro The vaccines were. Covid-19 sells the vaccines.,en
2023-01-17 23:55:43+00:00,1560155798046511105,"A Young Boy From The Philippines Named ‘Angelo’ Is Tortured 24/7 By Covid-19 Vaccine Side Effects 💉😢Angelo can no longer walk or speak after the injection, his mother calls it the “pesticide vaccine” ..https://t.co/7PnlX9iFaD https://t.co/ATtMwWvyJl",en
2023-01-17 23:55:30+00:00,285748320,CDC identifies possible safety issue with Pfizer’s updated Covid-19 vaccine but says people should still get boosted https://t.co/0vCxH7HHtA,en
2023-01-17 23:54:55+00:00,47786380,"@MissingRonnieR @DrEliDavid ""After COVID-19 vaccines were available, Republicans had higher excess death rates than Democrats, with differences “concentrated in counties with lower vaccination rates.”The findings were part of a study, “Excess Death Rates for Republicans and Democrats During the COVID-19..",en
2023-01-17 23:52:56+00:00,1546979508422692865,@mmpadellan I don't even understand what they're trying to prove with this nonsense. Smoking has been proven to be bad for you. It's like they're trying to turn everything into the covid-19 vaccine debate.,en
2023-01-17 23:52:39+00:00,1520067338724265985,"Study: ""Effectiveness of the Coronavirus Disease 2019 (COVID-19) Bivalent Vaccine"" finds that ""The higher the number of vaccines previously received, the higher the risk of contracting COVID-19.""",en
2023-01-17 23:52:10+00:00,1267598593780666369,"Scientific research and practice have proved that Chinese vaccines meet the standards set by the #WHO for COVID-19 vaccines, which are prevention of disease, severe illness and death.",en
2023-01-17 23:52:09+00:00,1267598593780666369,"China has approved 13 #COVID19 vaccines for use, covering four COVID-19 vaccines. Among them, the inactivation technology adopted by #Chinese vaccines is a mature and stable technology recognized by the world. https://t.co/z251f5kg77",en
2023-01-17 23:51:56+00:00,854771,@H4ppysandwich @stillgray So a statement made 2 years ago about vaccines and covid-19 has no meaning in the current environment. It's no longer novel and numerous mutations where he vaccine is not as effective. Only fools would give this tweet any merit now.,en
2023-01-17 23:50:25+00:00,249913529,"@Jamesfindstruth @confusedmarcus @PRGuy17 Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine“The mRNA-1273 vaccine showed 94.1% efficacy at preventing Covid-19 illness, including severe disease. Aside from transient local and systemic reactions, no safety concerns were identified.”",en
2023-01-17 23:49:54+00:00,1541283475482894336,"US FDA, CDC see early signal of possible Pfizer bivalent COVID shot link to stroke Vials with a sticker reading, “COVID-19 / Coronavirus vaccine / Injection only” and a medical syringe are seen in front of a displayed Pfizer logo in this... https://t.co/gLQRCEgrxv",en
2023-01-17 23:49:45+00:00,1179551543286206469,@TimLaheyMD @dr_kkjetelina Stopped reading at this absolute lie:“We have more evidence than for any other vaccine or disease in the history of humans that the benefits of COVID-19 vaccines greatly outweigh the risks”,en
2023-01-17 23:48:30+00:00,145036955,"Other important steps to take right now:✔️Get up to date on COVID-19 vaccines and boosters: https://t.co/5l97kkHZtf✔️ Get a flu shot: https://t.co/I2vvZTPn4M✔️Stay home when sick, even if you test negative for COVID-19✔️Improve indoor air: https://t.co/UBKs9xlIpY",en
2023-01-17 23:47:44+00:00,839642079374426112,"@P_McCulloughMD @TexasLindsay_ @akheriaty @DrJuliePonesse @jordanbpeterson Nobody got vaccinated for any Covid-19 strain. Mofo we all got gene therapy incapsulated in #LipidNanoparticles The shots are products disignes to temporarily offer “protection” from a specific disease. Its not a old school vaccines, those provided Immunity to specific disease.",en
2023-01-17 23:47:19+00:00,2821360211,Biden admin extends Covid-19 vaccine mandate for foreign travellers while allowing ILLEGALS INTO THE COUNTRY WITHOUT THE COVID JAB!!!https://t.co/SUZxkuFMqp via @RebelNewsOnline,en
2023-01-17 23:47:07+00:00,1382553620,"The vaccine is designed to protect against severe illness, hospitalization, and death from COVID-19, which are significant risks for children as well as adults.",en
2023-01-17 23:47:07+00:00,1382553620,"For younger children, the vaccine has not yet been authorized but studies are still ongoing.The risk/benefit analysis for young children taking the COVID-19 vaccine is similar to that for adults.",en
2023-01-17 23:47:06+00:00,1917218150,Pentagon backtracks on back pay for service members discharged over COVID-19 vaccine https://t.co/f1wAmE4VXt,en
2023-01-17 23:47:06+00:00,1382553620,"The COVID-19 vaccine has been authorized for emergency use in children aged 12 and above in the United States and authorized for children aged 6 and above in the European Union, and other countries.",en
2023-01-17 23:46:28+00:00,2211250442,"@EthicalSkeptic Could it be that long covid and vaccine injury have the same mechanism, i.e. high viral load which results in the Spike Protein creating significant endothelial damage, vital organ tissue damage, and micro-clotting? All known symptoms of both COVID-19 and CV19 Vax injury.",en
2023-01-17 23:46:19+00:00,1382793386,@Doctor_Eric_B @dr_kkjetelina “To be very clear: We have more evidence than for any other vaccine or disease in the history of humans that the benefits of COVID-19 vaccines greatly outweigh the risks.”,en
2023-01-17 23:46:17+00:00,1419106966098567170,@Mohamme90939901 @amoraobscura @Doctor_Eric_B This is an extremely rare reaction to this vaccine which is why health officials usually recommended mRNA vaccines over this type. Generally there are far worse consequences from contracting Covid-19.,en
2023-01-17 23:45:20+00:00,1580022594614460416,@Synchro2021 Long term effects of the Covid 19 vaccines will continue to increase and unfortunately be with us for many years to come …. Do not believe they are safe for everyone. they may be beneficial short term for those with  comorbidities.😞😞😞,en
2023-01-17 23:45:13+00:00,1251981278,"As of 4pm today, Cambridge is reporting:34 newly reported COVID-19 cases.0 newly reported COVID-19 deaths.8.3 cases per 100,000 residents, 7-day moving average.99% of residents with at least one vaccine dose and 78% fully vaccinated.More at https://t.co/YgmNLKcIMc #CambMA https://t.co/0t4OowFnnh",en
2023-01-17 23:45:11+00:00,271408313,"If you have a weakened immune system, you are at increased risk of severe illness and death from #COVID-19. You have the best protection when you stay up to date with your COVID-19 vaccines. Learn more:  https://t.co/EYctC2VHao. https://t.co/FG9Pgfgyhs",en
2023-01-17 23:43:29+00:00,1559229178821709825,https://t.co/hRf0NTyWZC Pentagon Not Pursuing Backpay for Those Dismissed Due to COVID-19 Vaccine Mandate https://t.co/avSTixtgNz,en
2023-01-17 23:41:32+00:00,1372659275957481474,"@TheLionsDen80 @wndnurse1972 @independentrowr @The_Trump_Train Because I happily received the Covid-19 vaccine five times? I’m over 21, and I did so voluntarily.  It’s recommended by brilliant, educated scientists and health professionals the world over. It’s legal. That makes me a pervert murderer? CLOWN! 🤡",en
2023-01-17 23:41:13+00:00,1436017154516656137,CDC continues to closely monitor the safety of COVID-19 vaccines. Everyone who receives a COVID-19 vaccine can also participate in safety monitoring by enrolling themselves or their children or dependents 6 months and older in a smartphone-based system called v-safe and co…,en
2023-01-17 23:40:33+00:00,960556211820101633,"@pjackson_nl @Darth_Argh @JackLombardi @RobertKennedyJr I heard arguments that COVID-19 is worse than the vaccine for complications (persistent symptoms, CV risks, etc).  It's a ludicrous argument since most vaccinated get COVID-19 anyway! So essentially, you're at risk for both side effects?",en
2023-01-17 23:38:48+00:00,1548478272983339008,Q&amp;A of the Day – COVID-19 Vaccines &amp; Myocarditishttps://t.co/IIMBDc8Cwf,en
2023-01-17 23:37:43+00:00,1507704143774945283,"@YE24fren Remember when they said the vaccine would save your life and the majority of covid deaths were the unvaccinated"" Staggering COVID-19 Statistic: 98% to 99% of Americans Dying are Unvaccinated""- the experts.",en
