date,userid,tweet,lang,,,
2023-01-30 23:58:11+00:00,da748ea66ee20696177c55b27955be769d637a262a953a146f1d115ff8d0d2ec,Freudian slip admitting the vaccine is a 'THERAPY'Persistent COVID-19 Infection in Wiskott-Aldrich Syndrome Cleared Following Therapeutic Vaccination: a Case Report@RMConservative https://t.co/DTOCk2H3Ps,en,,,
2023-01-30 23:57:01+00:00,2f3bf4d7cbdf73249d4e79294b6f16c1,Halt vaccines. Use Ivermectin for Covid-19.Ask your doctor.,en,,,
2023-01-30 23:56:05+00:00,5eb7bf3f591a15af3b5bb5840590a4a4b27768391d0feb2b6255c3ff94c6ce42,@MrMsWoW @thevivafrei @Timcast What's hilarious to me are people like you.This isn't a partisan issue. There's documentation out there that shows they had applied for a patent for the Covid-19 vaccines in 2017.Our government is complicit in this situation. Both Democrats and Republicans.,en,,,
2023-01-30 23:55:30+00:00,eb8a5a77d73beb0f10c7da38a2b80e66,New law ends COVID-19 vaccine mandate for US troops | AP News https://t.co/HYU19cQK9L ||,en,,,
2023-01-30 23:55:08+00:00,717aa15afd17d4c3872d8c013db215e93491237723e8410c75452e74ba6cadf3,"1-30-23 [FRENCH] 鈥?/3 Here, the Brownstone Institute started from the confessions of BioNTech's CEO: ""It is impossible to avoid the conclusion that BioNTech's Covid-19 vaccine project must in fact have begun even before any cases of Covid-19 19 has been reported!"" Research 馃З鉁旓笍",en,,,
2023-01-30 23:54:53+00:00,2154cee2169c950988e88be6b37f375f8958dc3bed97d39429dad1efec3b9102,"馃i wasn't able to practice because i got my covid-19 vaccine, i wasn't able to practice yesterday or was it the day before?馃but fortunately, i'm able to keep up today so i'm relieved馃i just need to work a little bit harder#HEESEUNG #頋姽@ENHYPEN_members https://t.co/CmMy5knAMs",en,,,
2023-01-30 23:53:56+00:00,da7e436fcb76e374a1aa52b17054ea98,@EliseStefanik COVID-19 is a leading cause of death in children and young people in the United StatesCOVID 19 vaccine mandates protect the people they're tasked to save.Feel free to read about it..https://t.co/gKcBJmKb8D,en,,,
2023-01-30 23:53:29+00:00,1593920ae4ddb5a24302fa51b4902b1d044d6ec8bb739c82ac6a73673fdf3223,"@Gl0balistNeol1b @ComradeStu Yeah you're right, the social stability is catastrophic there.Also, all Latam countries have made a national COVID-19 vaccine, except them...",en,,,
2023-01-30 23:52:58+00:00,b3fec7d5aef02101da9ed6bbfd9bf2d9,@goddeketal Because there's something fishy about govts around the world using compelled speech and behaviour to stymy any criticism of their Covid-19 hanfling policies and forcing hastily made vaccines on people from companies that cannot be sued if things go bad because of EUA indemnity.,en,,,
2023-01-30 23:52:19+00:00,42713db561d9daeabc51b1f41bc24b4f,Human trials: Australia's first COVID-19 vaccine to be tested on locals https://t.co/pFfSgI4dDA,en,,,
